id,title,company,location,employment_type,salary_min,salary_max,skills_required,description,posted_date
JOB_108,Junior Data Engineer,CloudScale,San Francisco CA,Full-time,85000,110000,"Python,PostgreSQL,ETL/ELT,Docker,Git,SQL Server","Junior data engineer building and maintaining data pipelines under senior guidance. You will write transformation logic, document data lineage, and troubleshoot pipeline failures.",2024-04-05
JOB_109,Data Engineer,DataSolutions,Dhaka Bangladesh,Full-time,22000,36000,"Python,MySQL,ETL/ELT,Apache Kafka,Docker,Git","Data engineer building data infrastructure for a regional fintech company. You will design MySQL schemas, build Python ETL jobs, and help migrate to a cloud data warehouse.",2024-07-22
JOB_110,Staff Data Engineer,TechCorp,New York NY,Full-time,175000,220000,"Python,Apache Spark,Data Warehousing,Distributed Systems,System Design,Leadership","Staff data engineer setting the data architecture strategy and leading a team of 6 engineers. You will drive adoption of modern data stack tools and partner with executive stakeholders.",2024-05-20
JOB_111,AI Engineer,NexaAI,San Francisco CA,Full-time,150000,195000,"Python,Large Language Models,Generative AI,Retrieval-Augmented Generation,Vector Databases,REST APIs","AI engineer building cutting-edge generative AI features including intelligent search, document Q&A, and AI-powered workflow automation. You will evaluate foundation models and design RAG pipelines.",2024-02-05
JOB_112,Senior AI Engineer,TechCorp,Seattle WA,Full-time,170000,215000,"Python,Large Language Models,Generative AI,PyTorch,Prompt Engineering,Vector Databases","Senior AI engineer leading the development of AI-native product features. You will design multi-agent systems, implement evaluation frameworks, and establish responsible AI practices.",2024-03-10
JOB_113,AI Engineer - LLM Applications,EduTech,New York NY,Full-time,140000,180000,"Python,Large Language Models,Retrieval-Augmented Generation,Prompt Engineering,Vector Databases,FastAPI","AI engineer building LLM-powered educational tools including AI tutors and automated assessment systems. You will integrate with OpenAI and Anthropic APIs and build evaluation pipelines.",2024-04-25
JOB_114,AI Engineer,HealthData,Remote,Full-time,135000,175000,"Python,Large Language Models,Generative AI,Machine Learning,REST APIs,Docker","AI engineer applying generative AI to clinical documentation challenges including note summarization and coding assistance. You will ensure outputs are accurate and clinically safe.",2024-06-02
JOB_115,AI Platform Engineer,CloudScale,San Francisco CA,Full-time,155000,200000,"Python,Large Language Models,Generative AI,Kubernetes,Vector Databases,Distributed Systems","AI platform engineer building the infrastructure for deploying and serving large language models at scale. You will manage GPU clusters, optimize inference, and build developer tooling for AI features.",2024-07-18
JOB_116,Technical Product Manager,TechCorp,San Francisco CA,Full-time,130000,165000,"REST APIs,System Design,Agile/Scrum,Communication,Leadership,Problem Solving","Technical PM owning the developer platform product. You will define the roadmap, write detailed PRDs, and work directly with engineering to ship high-quality developer tools.",2024-01-20
JOB_117,Senior Technical Product Manager,NexaAI,New York NY,Full-time,155000,195000,"System Design,REST APIs,Agile/Scrum,Leadership,Communication,Data Visualization","Senior TPM leading a team building AI-powered enterprise SaaS features. You will translate customer needs into engineering requirements and drive go-to-market strategy.",2024-02-28
JOB_118,Technical Product Manager - Data,DataSolutions,Seattle WA,Full-time,140000,178000,"PostgreSQL,Data Visualization,Agile/Scrum,Communication,REST APIs,Leadership","Technical PM for the data platform product. You will work closely with data engineers and data scientists to prioritize infrastructure investments that unlock new business capabilities.",2024-04-10
JOB_119,Technical Product Manager,HealthData,London UK,Full-time,75000,100000,"REST APIs,Agile/Scrum,Communication,Leadership,Problem Solving,PostgreSQL","Technical PM building digital health products that improve patient care. You will gather requirements from clinicians, write user stories, and own the product backlog.",2024-05-22
JOB_120,Product Manager - AI Features,EduTech,Remote,Full-time,120000,155000,"Agile/Scrum,Communication,Leadership,Machine Learning,Data Visualization,Problem Solving","Product manager owning the AI feature roadmap for an edtech platform. You will synthesize user research, define success metrics, and collaborate with ML engineers to deliver impactful AI experiences.",2024-07-01
